epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.51847,1.59022,8.84132,2.77181,1.63658,0.00667,1,0.45306,0.25297,0.006,0.9,0.34664,0.11596,1.04112,6.67999,2.87701,1.22897,0,0,0
2,8.09882,1.22996,6.86369,2.60562,1.39728,0.00667,1,0.49098,0.26117,0.00533,0.8,0.33437,0.09719,1.06874,6.59284,2.87816,1.25245,1.9802e-05,1.9802e-05,1.9802e-05
3,11.4826,1.35504,7.2385,2.67256,1.64923,0.00667,1,0.53897,0.27309,0.006,0.9,0.49274,0.14659,1.05183,6.13053,2.89074,1.23455,3.9208e-05,3.9208e-05,3.9208e-05
4,14.8154,1.55506,6.89031,2.64794,1.61931,0.00667,1,0.63268,0.26048,0.006,0.9,0.4747,0.15491,1.07856,5.66171,2.88574,1.26275,5.8218e-05,5.8218e-05,5.8218e-05
5,18.1506,1.61173,5.70086,2.71925,1.81302,0.00667,1,0.51403,0.27831,0.00533,0.8,0.40275,0.19413,1.16833,5.27712,2.90474,1.30946,7.6832e-05,7.6832e-05,7.6832e-05
6,21.4476,1.25292,4.68542,2.72883,1.46083,0.00667,1,0.5894,0.373,0.004,0.6,0.40873,0.1952,1.01407,4.53209,2.95033,1.25609,9.505e-05,9.505e-05,9.505e-05
7,25.0792,1.26745,4.30201,2.59491,1.54847,0.00533,0.8,0.5682,0.39676,0.004,0.6,0.40165,0.26821,1.20687,3.91304,2.92926,1.44982,0.000112872,0.000112872,0.000112872
8,28.9353,1.41981,4.04657,2.64097,1.58208,0.00667,1,0.65821,0.42823,0.004,0.6,0.49937,0.35687,1.23635,3.55732,2.92678,1.48469,0.000130298,0.000130298,0.000130298
9,32.5615,1.08287,3.50926,2.62797,1.37897,0.006,0.9,0.54224,0.43491,0.004,0.6,0.48281,0.38541,1.22351,3.3453,2.90726,1.36989,0.000147328,0.000147328,0.000147328
10,35.9976,1.08832,2.47645,2.68679,1.37442,0.00667,1,0.50146,0.39038,0.00533,0.8,0.47126,0.35097,1.12748,3.30856,2.92483,1.27891,0.000163962,0.000163962,0.000163962
11,39.4496,1.07512,2.99498,2.49675,1.35284,0.00667,1,0.60147,0.45201,0.006,0.9,0.50473,0.39564,1.09955,3.10049,2.87912,1.25348,0.0001802,0.0001802,0.0001802
12,43.4396,0.98367,2.44333,2.49965,1.24162,0.00667,1,0.55169,0.43036,0.006,0.9,0.4834,0.4133,0.95051,2.8674,2.85556,1.17207,0.000196042,0.000196042,0.000196042
13,46.9157,1.40464,3.54632,2.37665,1.49842,0.00667,1,0.65577,0.5211,0.00667,1,0.61491,0.48677,0.93864,2.79331,2.82801,1.11985,0.000211488,0.000211488,0.000211488
14,50.2639,1.1099,2.40151,2.45159,1.25957,0.00667,1,0.75883,0.53997,0.00667,1,0.66629,0.48397,0.93523,3.18172,2.82872,1.10309,0.000226538,0.000226538,0.000226538
15,53.6779,0.97176,2.60464,2.31918,1.15309,0.00667,1,0.72235,0.53447,0.00667,1,0.66916,0.46186,0.84197,4.09859,2.82313,1.05474,0.000241192,0.000241192,0.000241192
16,56.9638,1.04731,2.12147,2.3501,1.17977,0.00667,1,0.78955,0.55133,0.00667,1,0.71432,0.46443,0.92218,4.65822,2.81124,1.10323,0.00025545,0.00025545,0.00025545
